item_name,category,description,stats,passive,cost,image_url,document
Berserker's Fury,Item / Attack,Crit Chance & Damage,"+65 Physical Attack, +25% Crit Chance",unique +40% Crit Damage,2390 gold,https://www.mlbbguides.com/tupian/zhuangbei/berserkers-fury.png,"Item: Berserker's Fury
Category: Item / Attack
Cost: 2390 gold
Description: Crit Chance & Damage
Stats: +65 Physical Attack, +25% Crit Chance
Passive: unique +40% Crit Damage"
Blade of Despair,Item / Attack,Highest Physical Attack,"+160 Physical Attack, +5% Movement Speed",Despair Dealing damage to non-Minion enemies below 50% HP increases Physical Attack by 25% for 2 seconds (takes effect before the damage is dealt).,3010 gold,https://www.mlbbguides.com/tupian/zhuangbei/blade-of-despair.png,"Item: Blade of Despair
Category: Item / Attack
Cost: 3010 gold
Description: Highest Physical Attack
Stats: +160 Physical Attack, +5% Movement Speed
Passive: Despair Dealing damage to non-Minion enemies below 50% HP increases Physical Attack by 25% for 2 seconds (takes effect before the damage is dealt)."
Blade of the Heptaseas,Item / Attack,Best for Assassins,"+70 Physical Attack, +250 HP",unique +15 Physical Penetration,1950 gold,https://www.mlbbguides.com/tupian/zhuangbei/blade-of-the-heptaseas.png,"Item: Blade of the Heptaseas
Category: Item / Attack
Cost: 1950 gold
Description: Best for Assassins
Stats: +70 Physical Attack, +250 HP
Passive: unique +15 Physical Penetration"
Corrosion Scythe,Item / Attack,One-Hit Slow,"+30 Physical Attack, +30% Attack Speed, +5% Movement Speed",Corrosive Basic Attacks gain 80 extra Physical Damage and slow the target by 8% (halved for ranged Basic Attacks) for 1.5 seconds. Stacks up to 5 times.,2050 gold,https://www.mlbbguides.com/tupian/zhuangbei/corrosion-scythe.png,"Item: Corrosion Scythe
Category: Item / Attack
Cost: 2050 gold
Description: One-Hit Slow
Stats: +30 Physical Attack, +30% Attack Speed, +5% Movement Speed
Passive: Corrosive Basic Attacks gain 80 extra Physical Damage and slow the target by 8% (halved for ranged Basic Attacks) for 1.5 seconds. Stacks up to 5 times."
Dagger,Item / Attack,+15 Physical Attack,+15 Physical Attack,,250 gold,https://www.mlbbguides.com/tupian/zhuangbei/dagger.png,"Item: Dagger
Category: Item / Attack
Cost: 250 gold
Description: +15 Physical Attack
Stats: +15 Physical Attack
Passive:"
Demon Hunter Sword,Item / Attack,Tank Killer,"+35 Physical Attack, +20% Attack Speed",Engulf Basic Attacks deal 8% of the target's current HP as extra Physical Damage (capped at 60 against minions).,2180 gold,https://www.mlbbguides.com/tupian/zhuangbei/demon-hunter-sword.png,"Item: Demon Hunter Sword
Category: Item / Attack
Cost: 2180 gold
Description: Tank Killer
Stats: +35 Physical Attack, +20% Attack Speed
Passive: Engulf Basic Attacks deal 8% of the target's current HP as extra Physical Damage (capped at 60 against minions)."
Endless Battle,Item / Attack,Enhanced Basic Attacks,"+60 Physical Attack, +250 HP, +10% Cooldown Reduction, +5% Movement Speed, +5 Mana Regen","Divine Justice After casting a skill, the next Basic Attack within 3 seconds deals (60% Total Physical Attack) extra True Damage and recovers 80 (+40% of Total Physical Attack) HP (1.5 seconds cooldown).",2330 gold,https://www.mlbbguides.com/tupian/zhuangbei/endless-battle.png,"Item: Endless Battle
Category: Item / Attack
Cost: 2330 gold
Description: Enhanced Basic Attacks
Stats: +60 Physical Attack, +250 HP, +10% Cooldown Reduction, +5% Movement Speed, +5 Mana Regen
Passive: Divine Justice After casting a skill, the next Basic Attack within 3 seconds deals (60% Total Physical Attack) extra True Damage and recovers 80 (+40% of Total Physical Attack) HP (1.5 seconds cooldown)."
Fleeting Time,Item / Attack,Ultimate CD Reduction,"+30 Adaptive Attack, +600 HP, +15% Cooldown Reduction",Timestream Hero kills or assists reduce the Ultimate's current cooldown by 30%.,2050 gold,https://www.mlbbguides.com/tupian/zhuangbei/fleeting-time.png,"Item: Fleeting Time
Category: Item / Attack
Cost: 2050 gold
Description: Ultimate CD Reduction
Stats: +30 Adaptive Attack, +600 HP, +15% Cooldown Reduction
Passive: Timestream Hero kills or assists reduce the Ultimate's current cooldown by 30%."
Fury Hammer,Item / Attack,+35 Physical Attack,+35 Physical Attack,unique +12 Physical Penetration,830 gold,https://www.mlbbguides.com/tupian/zhuangbei/fury-hammer.png,"Item: Fury Hammer
Category: Item / Attack
Cost: 830 gold
Description: +35 Physical Attack
Stats: +35 Physical Attack
Passive: unique +12 Physical Penetration"
Golden Staff,Item / Attack,Enhance Attack Effects,"+55 Physical Attack, +15% Attack Speed",Swift Every 1% extra Crit Chance gained is converted into 1% extra Attack Speed.,2000 gold,https://www.mlbbguides.com/tupian/zhuangbei/golden-staff.png,"Item: Golden Staff
Category: Item / Attack
Cost: 2000 gold
Description: Enhance Attack Effects
Stats: +55 Physical Attack, +15% Attack Speed
Passive: Swift Every 1% extra Crit Chance gained is converted into 1% extra Attack Speed."
