"hero_id","hero_name","tier","movement","main_role","secondary_roles","rank","mode","source","source_url","updated_at","retrieved_at","document"
"104","Gloo","SS","same","Roam","Exp Lane","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Gloo
Tier: SS
Main role: Roam
Secondary roles: Exp Lane
Rank: Mythic
Mode: Rank
Movement: same
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
"103","Paquito","SS","same","Exp Lane","Jungle","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Paquito
Tier: SS
Main role: Exp Lane
Secondary roles: Jungle
Rank: Mythic
Mode: Rank
Movement: same
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
"27","Sun","SS","same","Exp Lane","Jungle","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Sun
Tier: SS
Main role: Exp Lane
Secondary roles: Jungle
Rank: Mythic
Mode: Rank
Movement: same
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
"70","Belerick","SS","same","Roam","","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Belerick
Tier: SS
Main role: Roam
Secondary roles: 
Rank: Mythic
Mode: Rank
Movement: same
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
"34","Estes","SS","up","Roam","","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Estes
Tier: SS
Main role: Roam
Secondary roles: 
Rank: Mythic
Mode: Rank
Movement: up
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
"133","Marcel","S","same","Roam","","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Marcel
Tier: S
Main role: Roam
Secondary roles: 
Rank: Mythic
Mode: Rank
Movement: same
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
"112","Floryn","S","same","Roam","","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Floryn
Tier: S
Main role: Roam
Secondary roles: 
Rank: Mythic
Mode: Rank
Movement: same
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
"1","Miya","S","same","Gold Lane","","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Miya
Tier: S
Main role: Gold Lane
Secondary roles: 
Rank: Mythic
Mode: Rank
Movement: same
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
"3","Saber","S","same","Jungle","","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Saber
Tier: S
Main role: Jungle
Secondary roles: 
Rank: Mythic
Mode: Rank
Movement: same
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
"60","Hanabi","S","same","Gold Lane","","Mythic","Rank","MLBB.GG","https://mlbb.gg/tierlist","2026-07-27","2026-07-28","MLBB tier-list snapshot
Hero: Hanabi
Tier: S
Main role: Gold Lane
Secondary roles: 
Rank: Mythic
Mode: Rank
Movement: same
Source: MLBB.GG
Source updated: 2026-07-27
Retrieved: 2026-07-28"
